start,end,epd_data,asi_data,asi
2020-09-15 12:31:25,2020-09-15 12:32:45,True,True,kian
2020-09-17 11:17:59,2020-09-17 11:19:19,True,True,gako
2020-09-19 11:36:41,2020-09-19 11:38:01,True,True,mcgr
2020-09-21 05:42:41,2020-09-21 05:44:00,True,True,kuuj
2020-09-21 07:14:55,2020-09-21 07:16:14,True,True,rank
2020-09-21 07:16:39,2020-09-21 07:17:58,True,True,gill
2020-09-21 10:20:30,2020-09-21 10:21:50,True,True,inuv
2020-09-21 11:54:24,2020-09-21 11:55:44,True,True,kian
2020-09-21 11:55:31,2020-09-21 11:56:09,True,True,mcgr
2020-09-22 06:39:15,2020-09-22 06:40:34,True,True,snkq
2020-09-22 06:41:11,2020-09-22 06:42:30,True,True,kapu
2020-09-22 11:18:08,2020-09-22 11:19:28,True,True,mcgr
2020-09-22 11:18:17,2020-09-22 11:18:23,True,True,gako
2020-09-23 06:03:01,2020-09-23 06:03:13,True,True,snkq
2020-09-23 10:39:18,2020-09-23 10:39:56,True,True,inuv
2020-09-23 10:40:54,2020-09-23 10:42:14,True,True,gako
2020-09-23 12:13:12,2020-09-23 12:14:32,True,True,kian
2020-09-24 06:56:40,2020-09-24 06:57:39,True,True,rank
2020-09-24 11:35:49,2020-09-24 11:37:09,True,True,kian
2020-09-24 11:36:55,2020-09-24 11:38:15,True,True,mcgr
2020-09-25 06:20:39,2020-09-25 06:21:58,True,True,snkq
2020-09-25 06:22:35,2020-09-25 06:23:54,True,True,kapu
2020-09-25 10:59:40,2020-09-25 11:01:00,True,True,gako
2020-09-26 05:42:50,2020-09-26 05:44:08,True,True,kuuj
2020-09-26 07:15:04,2020-09-26 07:16:22,True,True,rank
2020-09-26 07:16:48,2020-09-26 07:18:07,True,True,gill
2020-09-26 10:20:39,2020-09-26 10:21:59,True,True,inuv
2020-09-26 10:23:27,2020-09-26 10:23:35,True,True,gako
2020-09-26 11:54:33,2020-09-26 11:55:53,True,True,kian
2020-09-27 11:18:14,2020-09-27 11:19:34,True,True,mcgr
2020-09-28 10:40:56,2020-09-28 10:42:16,True,True,gako
2020-09-28 12:13:13,2020-09-28 12:13:35,True,True,kian
2020-09-29 05:24:05,2020-09-29 05:25:23,True,True,kuuj
2020-09-29 06:56:18,2020-09-29 06:57:37,True,True,rank
2020-09-29 06:58:02,2020-09-29 06:59:21,True,True,gill
2020-09-29 10:01:53,2020-09-29 10:03:12,True,True,inuv
2020-09-29 11:35:47,2020-09-29 11:37:07,True,True,kian
2020-09-29 11:36:53,2020-09-29 11:37:36,True,True,mcgr
2020-09-30 10:59:25,2020-09-30 11:00:45,True,True,mcgr
2020-09-30 10:59:34,2020-09-30 10:59:45,True,True,gako
2020-10-01 05:44:23,2020-10-01 05:44:25,True,True,snkq
2020-10-01 10:20:29,2020-10-01 10:21:12,True,True,inuv
2020-10-01 10:22:05,2020-10-01 10:23:25,True,True,gako
2020-10-01 11:54:22,2020-10-01 11:55:43,True,True,kian
2020-10-18 09:03:19,2020-10-18 09:04:39,True,True,inuv
2020-10-18 10:37:41,2020-10-18 10:38:32,True,True,kian
2020-10-18 10:38:18,2020-10-18 10:39:38,True,True,mcgr
2020-10-19 05:21:51,2020-10-19 05:23:10,True,True,snkq
2020-10-19 05:23:47,2020-10-19 05:25:05,True,True,kapu
2020-10-19 10:00:50,2020-10-19 10:02:09,True,True,gako
2020-10-20 04:43:49,2020-10-20 04:45:07,True,True,kuuj
2020-10-20 06:16:02,2020-10-20 06:17:20,True,True,rank
2020-10-20 06:17:46,2020-10-20 06:19:04,True,True,gill
2020-10-20 09:21:36,2020-10-20 09:22:55,True,True,inuv
2020-10-20 10:55:29,2020-10-20 10:56:48,True,True,kian
2020-10-21 10:18:56,2020-10-21 10:20:15,True,True,mcgr
2020-10-22 05:02:28,2020-10-22 05:03:46,True,True,snkq
2020-12-06 03:04:10,2020-12-06 03:05:28,True,True,kuuj
2020-12-08 08:00:18,2020-12-08 08:01:37,True,True,gako
2020-12-08 09:32:32,2020-12-08 09:32:39,True,True,kian
2020-12-09 02:42:45,2020-12-09 02:44:03,True,True,kuuj
2020-12-10 03:38:17,2020-12-10 03:39:35,True,True,snkq
2020-12-11 02:59:31,2020-12-11 02:59:44,True,True,kuuj
2020-12-11 07:37:09,2020-12-11 07:38:03,True,True,inuv
2020-12-11 09:10:59,2020-12-11 09:12:19,True,True,kian
2020-12-14 04:10:01,2020-12-14 04:11:20,True,True,rank
2020-12-14 04:11:45,2020-12-14 04:13:04,True,True,gill
2020-12-15 08:11:59,2020-12-15 08:13:19,True,True,mcgr
2020-12-16 02:54:55,2020-12-16 02:56:13,True,True,snkq
2020-12-16 07:33:43,2020-12-16 07:35:03,True,True,gako
2020-12-17 03:48:14,2020-12-17 03:49:33,True,True,rank
2020-12-17 06:53:41,2020-12-17 06:55:00,True,True,inuv
2020-12-18 03:11:30,2020-12-18 03:12:48,True,True,snkq
2020-12-18 07:50:19,2020-12-18 07:51:38,True,True,gako
2020-12-18 07:51:15,2020-12-18 07:51:29,True,True,mcgr
2020-12-19 04:04:48,2020-12-19 04:06:06,True,True,rank
2020-12-19 04:06:32,2020-12-19 04:07:51,True,True,gill
2020-12-19 08:44:04,2020-12-19 08:45:24,True,True,kian
2020-12-21 02:49:35,2020-12-21 02:50:53,True,True,snkq
2020-12-22 02:10:41,2020-12-22 02:11:59,True,True,kuuj
2020-12-22 03:42:50,2020-12-22 03:44:09,True,True,rank
2020-12-22 03:44:34,2020-12-22 03:45:53,True,True,gill
2020-12-23 03:06:02,2020-12-23 03:07:21,True,True,snkq
2020-12-23 03:07:58,2020-12-23 03:09:17,True,True,kapu
2020-12-23 07:44:41,2020-12-23 07:46:01,True,True,mcgr
2020-12-23 07:44:50,2020-12-23 07:45:40,True,True,gako
2020-12-24 02:27:06,2020-12-24 02:28:03,True,True,kuuj
2020-12-24 08:38:31,2020-12-24 08:39:51,True,True,kian
2020-12-25 01:49:08,2020-12-25 01:49:54,True,True,kuuj
2020-12-25 08:00:48,2020-12-25 08:01:18,True,True,kian
2020-12-25 08:01:05,2020-12-25 08:02:25,True,True,mcgr
2020-12-26 02:43:53,2020-12-26 02:45:12,True,True,snkq
2020-12-26 02:45:49,2020-12-26 02:47:08,True,True,kapu
2020-12-26 07:22:40,2020-12-26 07:24:00,True,True,gako
2020-12-28 03:02:06,2020-12-28 03:03:25,True,True,kapu
2020-12-29 02:22:25,2020-12-29 02:22:55,True,True,snkq
2020-12-30 03:15:06,2020-12-30 03:16:02,True,True,rank
2020-12-30 07:53:57,2020-12-30 07:55:17,True,True,kian
2020-12-30 07:55:03,2020-12-30 07:56:23,True,True,mcgr
2020-12-31 02:37:48,2020-12-31 02:39:06,True,True,snkq
2020-12-31 02:39:44,2020-12-31 02:41:03,True,True,kapu
2020-12-31 07:16:34,2020-12-31 07:17:54,True,True,gako
2021-01-01 01:58:45,2021-01-01 02:00:03,True,True,kuuj
2021-01-01 06:36:19,2021-01-01 06:37:39,True,True,inuv
2021-01-01 08:10:08,2021-01-01 08:11:28,True,True,kian
2021-01-04 01:36:13,2021-01-04 01:37:31,True,True,kuuj
2021-01-04 07:47:35,2021-01-04 07:48:55,True,True,kian
2021-01-05 02:31:23,2021-01-05 02:32:41,True,True,snkq
2021-01-05 02:33:19,2021-01-05 02:34:37,True,True,kapu
2021-01-06 01:52:17,2021-01-06 01:53:35,True,True,kuuj
2021-01-06 06:29:51,2021-01-06 06:31:10,True,True,inuv
2021-01-06 06:32:10,2021-01-06 06:32:46,True,True,gako
2021-01-08 06:47:28,2021-01-08 06:48:48,True,True,gako
2021-03-06 05:32:44,2021-03-06 05:34:03,True,True,mcgr
2021-08-17 06:32:56,2021-08-17 06:33:34,True,True,tpas
2021-08-17 09:40:53,2021-08-17 09:42:12,True,True,gako
2021-08-22 06:12:38,2021-08-22 06:13:56,True,True,rank
2021-08-23 10:11:34,2021-08-23 10:12:53,True,True,kian
2021-08-24 06:20:01,2021-08-24 06:21:19,True,True,tpas
2021-08-24 09:28:37,2021-08-24 09:29:55,True,True,gako
2021-08-25 10:21:16,2021-08-25 10:22:35,True,True,kian
2021-08-26 09:38:16,2021-08-26 09:39:35,True,True,gako
2021-08-30 05:14:18,2021-08-30 05:15:36,True,True,kapu
2021-08-30 05:17:56,2021-08-30 05:19:11,True,True,rank
2021-08-31 06:06:50,2021-08-31 06:08:08,True,True,tpas
2021-09-01 05:27:16,2021-09-01 05:28:34,True,True,rank
2021-09-01 05:29:04,2021-09-01 05:30:21,True,True,talo
2021-09-01 10:07:54,2021-09-01 10:09:13,True,True,kian
2021-09-02 04:43:39,2021-09-02 04:44:57,True,True,snkq
2021-09-02 09:24:44,2021-09-02 09:25:35,True,True,gako
2021-09-03 10:17:10,2021-09-03 10:18:29,True,True,kian
2021-09-06 09:44:22,2021-09-06 09:45:40,True,True,kian
2021-09-07 05:52:33,2021-09-07 05:53:51,True,True,tpas
2021-09-08 05:12:50,2021-09-08 05:14:08,True,True,rank
2021-09-08 05:14:38,2021-09-08 05:15:55,True,True,talo
2021-09-08 09:53:26,2021-09-08 09:54:45,True,True,kian
2021-09-09 09:10:07,2021-09-09 09:10:43,True,True,gako
2021-09-10 05:21:50,2021-09-10 05:23:07,True,True,rank
2021-09-10 05:23:37,2021-09-10 05:24:55,True,True,talo
2021-09-11 04:36:06,2021-09-11 04:37:24,True,True,kapu
2021-09-11 04:38:01,2021-09-11 04:39:19,True,True,snkq
2021-09-11 04:41:40,2021-09-11 04:42:47,True,True,talo
2021-09-12 05:30:43,2021-09-12 05:31:04,True,True,rank
2021-09-12 05:32:31,2021-09-12 05:33:14,True,True,talo
2021-09-13 09:29:07,2021-09-13 09:30:26,True,True,kian
2021-09-20 04:28:39,2021-09-20 04:29:57,True,True,kapu
2021-09-20 04:32:15,2021-09-20 04:33:33,True,True,rank
2021-09-21 03:48:14,2021-09-21 03:49:32,True,True,snkq
2021-09-21 05:20:44,2021-09-21 05:22:02,True,True,tpas
2021-09-22 09:21:17,2021-09-22 09:22:36,True,True,kian
2021-09-25 04:03:09,2021-09-25 04:04:27,True,True,kapu
2021-09-25 04:05:04,2021-09-25 04:06:22,True,True,snkq
2021-09-28 05:03:20,2021-09-28 05:04:38,True,True,tpas
2021-09-29 04:23:11,2021-09-29 04:24:29,True,True,rank
2021-09-29 04:24:59,2021-09-29 04:26:17,True,True,talo
2021-09-30 08:19:56,2021-09-30 08:21:04,True,True,gako
2021-10-02 08:29:31,2021-10-02 08:30:30,True,True,kian
2021-10-04 08:37:04,2021-10-04 08:38:23,True,True,kian
2021-10-05 04:44:42,2021-10-05 04:46:00,True,True,tpas
2021-10-06 02:29:57,2021-10-06 02:31:15,True,True,kuuj
2021-10-08 08:52:33,2021-10-08 08:53:52,True,True,kian
2021-10-10 04:19:41,2021-10-10 04:20:59,True,True,rank
2021-10-10 04:21:29,2021-10-10 04:22:47,True,True,talo
2021-10-11 08:17:19,2021-10-11 08:18:39,True,True,kian
2021-10-12 04:25:37,2021-10-12 04:26:06,True,True,tpas
2021-10-12 04:28:58,2021-10-12 04:29:02,True,True,talo
2021-10-13 03:40:41,2021-10-13 03:41:51,True,True,kapu
2021-10-13 03:44:17,2021-10-13 03:45:35,True,True,rank
2021-10-13 03:46:05,2021-10-13 03:47:23,True,True,talo
2021-10-14 04:32:08,2021-10-14 04:33:26,True,True,tpas
2021-10-14 07:40:35,2021-10-14 07:41:54,True,True,gako
2021-11-16 00:50:13,2021-11-16 00:50:47,True,True,kuuj
