"Start Time (UTC)","End Time (UTC)","Duration (min)","Min (km)","Max (km)","Conjunction Type","Conjunction Between"
"2020-01-09  05:31","2020-01-09  05:31","1","376","376","nbtrace","THEMIS-ASI TPAS and ELFIN-B"
"2020-01-09  05:32","2020-01-09  05:33","2","210","431","nbtrace","REGO FSMI and ELFIN-B"
"2020-01-09  05:32","2020-01-09  05:33","2","210","431","nbtrace","TREx RGB FSMI and ELFIN-B"
"2020-01-09  05:32","2020-01-09  05:33","2","260","379","nbtrace","TREx Spectrograph RABB and ELFIN-B"
"2020-01-09  05:32","2020-01-09  05:33","2","260","379","nbtrace","TREx RGB RABB and ELFIN-B"
"2020-01-09  05:36","2020-01-09  05:37","2","424","490","nbtrace","REGO SACH and ELFIN-B"
"2020-01-09  06:43","2020-01-09  06:44","2","239","456","nbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2020-01-09  06:43","2020-01-09  06:44","2","239","456","nbtrace","REGO FSIM and ELFIN-A"
"2020-01-09  06:45","2020-01-09  06:46","2","223","441","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-09  06:46","2020-01-09  06:47","2","208","339","nbtrace","REGO SACH and ELFIN-A"
"2020-01-09  07:08","2020-01-09  07:09","2","146","273","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-09  07:09","2020-01-09  07:10","2","421","436","nbtrace","REGO SACH and ELFIN-B"
"2020-01-09  08:17","2020-01-09  08:18","2","252","348","nbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2020-01-09  08:19","2020-01-09  08:19","1","408","408","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-09  08:41","2020-01-09  08:43","3","148","475","nbtrace","THEMIS-ASI KIAN and ELFIN-B"
"2020-01-10  02:59","2020-01-10  03:01","3","125","481","nbtrace","THEMIS-ASI KUUJ and ELFIN-A"
"2020-01-10  03:05","2020-01-10  03:05","1","473","473","nbtrace","REGO RESU and ELFIN-A"
"2020-01-10  03:22","2020-01-10  03:23","2","276","295","nbtrace","THEMIS-ASI SNKQ and ELFIN-B"
"2020-01-10  03:23","2020-01-10  03:23","1","475","475","nbtrace","THEMIS-ASI KUUJ and ELFIN-B"
"2020-01-10  03:27","2020-01-10  03:28","2","351","399","nbtrace","REGO RESU and ELFIN-B"
"2020-01-10  04:31","2020-01-10  04:32","2","357","366","nbtrace","THEMIS-ASI PINA and ELFIN-A"
"2020-01-10  04:31","2020-01-10  04:32","2","357","366","nbtrace","TREx RGB PINA and ELFIN-A"
"2020-01-10  04:32","2020-01-10  04:34","3","110","467","nbtrace","THEMIS-ASI GILL and ELFIN-A"
"2020-01-10  04:32","2020-01-10  04:34","3","110","467","nbtrace","REGO GILL and ELFIN-A"
"2020-01-10  04:32","2020-01-10  04:34","3","110","467","nbtrace","TREx NIR GILL and ELFIN-A"
"2020-01-10  04:32","2020-01-10  04:34","3","110","467","nbtrace","TREx RGB GILL and ELFIN-A"
"2020-01-10  04:34","2020-01-10  04:35","2","166","344","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2020-01-10  04:34","2020-01-10  04:35","2","166","344","nbtrace","REGO RANK and ELFIN-A"
"2020-01-10  04:36","2020-01-10  04:37","2","239","278","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-10  04:36","2020-01-10  04:37","2","239","278","nbtrace","REGO TALO and ELFIN-A"
"2020-01-10  04:37","2020-01-10  04:39","3","174","481","nbtrace","REGO RESU and ELFIN-A"
"2020-01-10  04:54","2020-01-10  04:55","2","190","299","nbtrace","THEMIS-ASI PINA and ELFIN-B"
"2020-01-10  04:54","2020-01-10  04:55","2","190","299","nbtrace","TREx RGB PINA and ELFIN-B"
"2020-01-10  04:55","2020-01-10  04:56","2","266","481","nbtrace","THEMIS-ASI GILL and ELFIN-B"
"2020-01-10  04:55","2020-01-10  04:56","2","247","281","nbtrace","THEMIS-ASI TPAS and ELFIN-B"
"2020-01-10  04:55","2020-01-10  04:56","2","266","481","nbtrace","REGO GILL and ELFIN-B"
"2020-01-10  04:55","2020-01-10  04:56","2","266","481","nbtrace","TREx NIR GILL and ELFIN-B"
"2020-01-10  04:55","2020-01-10  04:56","2","266","481","nbtrace","TREx RGB GILL and ELFIN-B"
"2020-01-10  04:56","2020-01-10  04:57","2","288","360","nbtrace","TREx Spectrograph RABB and ELFIN-B"
"2020-01-10  04:56","2020-01-10  04:57","2","288","360","nbtrace","TREx RGB RABB and ELFIN-B"
"2020-01-10  04:58","2020-01-10  04:58","1","456","456","nbtrace","THEMIS-ASI RANK and ELFIN-B"
"2020-01-10  04:58","2020-01-10  04:58","1","456","456","nbtrace","REGO RANK and ELFIN-B"
"2020-01-10  04:59","2020-01-10  05:00","2","435","437","nbtrace","THEMIS-ASI TALO and ELFIN-B"
"2020-01-10  04:59","2020-01-10  05:00","2","435","437","nbtrace","REGO TALO and ELFIN-B"
"2020-01-10  05:01","2020-01-10  05:01","1","350","350","nbtrace","REGO RESU and ELFIN-B"
"2020-01-10  06:05","2020-01-10  06:07","3","134","481","nbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2020-01-10  06:08","2020-01-10  06:09","2","209","395","nbtrace","THEMIS-ASI FSIM and ELFIN-A"
"2020-01-10  06:08","2020-01-10  06:09","2","209","395","nbtrace","REGO FSIM and ELFIN-A"
"2020-01-10  06:10","2020-01-10  06:12","3","119","471","nbtrace","REGO SACH and ELFIN-A"
"2020-01-10  06:30","2020-01-10  06:32","3","119","443","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2020-01-10  06:30","2020-01-10  06:32","3","119","443","nbtrace","REGO FSIM and ELFIN-B"
"2020-01-10  06:33","2020-01-10  06:33","1","310","310","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-10  06:33","2020-01-10  06:34","2","125","343","nbtrace","REGO SACH and ELFIN-B"
"2020-01-10  07:41","2020-01-10  07:43","3","219","499","nbtrace","THEMIS-ASI GAKO and ELFIN-A"
"2020-01-10  07:43","2020-01-10  07:44","2","412","464","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-10  08:04","2020-01-10  08:05","2","134","331","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2020-01-10  09:16","2020-01-10  09:17","2","305","335","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-11  02:24","2020-01-11  02:24","1","374","374","nbtrace","THEMIS-ASI KUUJ and ELFIN-A"
"2020-01-11  02:46","2020-01-11  02:48","3","29","436","nbtrace","THEMIS-ASI KUUJ and ELFIN-B"
"2020-01-11  03:55","2020-01-11  03:56","2","110","329","nbtrace","THEMIS-ASI KAPU and ELFIN-A"
"2020-01-11  03:57","2020-01-11  03:57","1","339","339","nbtrace","THEMIS-ASI SNKQ and ELFIN-A"
"2020-01-11  03:59","2020-01-11  03:59","1","280","280","nbtrace","THEMIS-ASI RANK and ELFIN-A"
"2020-01-11  03:59","2020-01-11  03:59","1","280","280","nbtrace","REGO RANK and ELFIN-A"
"2020-01-11  04:00","2020-01-11  04:01","2","194","360","nbtrace","THEMIS-ASI TALO and ELFIN-A"
"2020-01-11  04:00","2020-01-11  04:01","2","194","360","nbtrace","REGO TALO and ELFIN-A"
"2020-01-11  04:01","2020-01-11  04:03","3","81","473","nbtrace","REGO RESU and ELFIN-A"
"2020-01-11  04:19","2020-01-11  04:19","1","464","464","nbtrace","THEMIS-ASI PINA and ELFIN-B"
"2020-01-11  04:19","2020-01-11  04:19","1","464","464","nbtrace","TREx RGB PINA and ELFIN-B"
"2020-01-11  04:20","2020-01-11  04:21","2","270","372","nbtrace","THEMIS-ASI GILL and ELFIN-B"
"2020-01-11  04:20","2020-01-11  04:21","2","270","372","nbtrace","REGO GILL and ELFIN-B"
"2020-01-11  04:20","2020-01-11  04:21","2","270","372","nbtrace","TREx NIR GILL and ELFIN-B"
"2020-01-11  04:20","2020-01-11  04:21","2","270","372","nbtrace","TREx RGB GILL and ELFIN-B"
"2020-01-11  04:21","2020-01-11  04:23","3","29","439","nbtrace","THEMIS-ASI RANK and ELFIN-B"
"2020-01-11  04:21","2020-01-11  04:23","3","29","439","nbtrace","REGO RANK and ELFIN-B"
"2020-01-11  04:23","2020-01-11  04:24","2","127","317","nbtrace","THEMIS-ASI TALO and ELFIN-B"
"2020-01-11  04:23","2020-01-11  04:24","2","127","317","nbtrace","REGO TALO and ELFIN-B"
"2020-01-11  04:24","2020-01-11  04:26","3","117","480","nbtrace","REGO RESU and ELFIN-B"
"2020-01-11  05:29","2020-01-11  05:30","2","143","283","nbtrace","REGO LUCK and ELFIN-A"
"2020-01-11  05:29","2020-01-11  05:30","2","143","283","nbtrace","TREx Spectrograph LUCK and ELFIN-A"
"2020-01-11  05:29","2020-01-11  05:30","2","143","283","nbtrace","TREx RGB LUCK and ELFIN-A"
"2020-01-11  05:30","2020-01-11  05:31","2","438","470","nbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2020-01-11  05:30","2020-01-11  05:30","1","405","405","nbtrace","THEMIS-ASI TPAS and ELFIN-A"
"2020-01-11  05:31","2020-01-11  05:32","2","202","372","nbtrace","TREx RGB FSMI and ELFIN-A"
"2020-01-11  05:31","2020-01-11  05:32","2","270","436","nbtrace","TREx Spectrograph RABB and ELFIN-A"
"2020-01-11  05:31","2020-01-11  05:32","2","270","436","nbtrace","TREx RGB RABB and ELFIN-A"
"2020-01-11  05:35","2020-01-11  05:35","1","394","394","nbtrace","REGO SACH and ELFIN-A"
"2020-01-11  05:52","2020-01-11  05:53","2","392","467","nbtrace","REGO LUCK and ELFIN-B"
"2020-01-11  05:52","2020-01-11  05:53","2","392","467","nbtrace","TREx Spectrograph LUCK and ELFIN-B"
"2020-01-11  05:52","2020-01-11  05:53","2","392","467","nbtrace","TREx RGB LUCK and ELFIN-B"
"2020-01-11  05:53","2020-01-11  05:54","2","139","277","nbtrace","THEMIS-ASI ATHA and ELFIN-B"
"2020-01-11  05:54","2020-01-11  05:55","2","185","347","nbtrace","TREx RGB FSMI and ELFIN-B"
"2020-01-11  05:55","2020-01-11  05:56","2","354","398","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2020-01-11  05:55","2020-01-11  05:56","2","354","398","nbtrace","REGO FSIM and ELFIN-B"
"2020-01-11  05:58","2020-01-11  05:59","2","196","413","nbtrace","REGO SACH and ELFIN-B"
